Angulo:10
t=0.001,posx=0 , posy=0 , velx=295.442 , vely=52.0945
t=0.002,posx=0.258254 , posy=0.0455325 , velx=227.271 , vely=40.0652
t=0.003,posx=0.462709 , posy=0.0815708 , velx=184.659 , vely=32.5441
t=0.004,posx=0.631941 , posy=0.111391 , velx=155.503 , vely=27.3964
t=0.005,posx=0.776318 , posy=0.136823 , velx=134.298 , vely=23.6513
t=0.006,posx=0.902212 , posy=0.158989 , velx=118.182 , vely=20.8037
t=0.007,posx=1.01382 , posy=0.178631 , velx=105.52 , vely=18.5653
t=0.008,posx=1.11406 , posy=0.196263 , velx=95.3088 , vely=16.7592
t=0.009,posx=1.20504 , posy=0.212255 , velx=86.8995 , vely=15.271
t=0.01,posx=1.28831 , posy=0.226885 , velx=79.854 , vely=14.0233
t=0.011,posx=1.3651 , posy=0.240364 , velx=73.8654 , vely=12.962
t=0.012,posx=1.43632 , posy=0.252858 , velx=68.7124 , vely=12.0481
t=0.013,posx=1.50274 , posy=0.264499 , velx=64.2316 , vely=11.2527
t=0.014,posx=1.56497 , posy=0.275395 , velx=60.2996 , vely=10.5542
t=0.015,posx=1.62349 , posy=0.285634 , velx=56.8212 , vely=9.93565
t=0.016,posx=1.67874 , posy=0.295289 , velx=53.7224 , vely=9.38407
t=0.017,posx=1.73105 , posy=0.304421 , velx=50.9442 , vely=8.88903
t=0.018,posx=1.78072 , posy=0.313083 , velx=48.4392 , vely=8.4422
t=0.019,posx=1.828 , posy=0.321319 , velx=46.1692 , vely=8.0368
t=0.02,posx=1.87312 , posy=0.329168 , velx=44.1024 , vely=7.66726
t=0.021,posx=1.91627 , posy=0.336664 , velx=42.2128 , vely=7.32897
t=0.022,posx=1.9576 , posy=0.343836 , velx=40.4786 , vely=7.01807
t=0.023,posx=1.99727 , posy=0.350708 , velx=38.8813 , vely=6.73133
t=0.024,posx=2.0354 , posy=0.357305 , velx=37.4053 , vely=6.466
t=0.025,posx=2.07212 , posy=0.363647 , velx=36.0374 , vely=6.21971
t=0.026,posx=2.10751 , posy=0.36975 , velx=34.766 , vely=5.99046
t=0.027,posx=2.14168 , posy=0.375633 , velx=33.5813 , vely=5.7765
t=0.028,posx=2.1747 , posy=0.381308 , velx=32.4748 , vely=5.57633
t=0.029,posx=2.20665 , posy=0.386789 , velx=31.4389 , vely=5.38861
t=0.03,posx=2.2376 , posy=0.392089 , velx=30.4671 , vely=5.2122
t=0.031,posx=2.2676 , posy=0.397217 , velx=29.5536 , vely=5.04608
t=0.032,posx=2.29672 , posy=0.402184 , velx=28.6934 , vely=4.88934
t=0.033,posx=2.32501 , posy=0.406999 , velx=27.8819 , vely=4.7412
t=0.034,posx=2.3525 , posy=0.411669 , velx=27.115 , vely=4.60094
t=0.035,posx=2.37925 , posy=0.416203 , velx=26.3893 , vely=4.46793
t=0.036,posx=2.40529 , posy=0.420607 , velx=25.7014 , vely=4.34159
t=0.037,posx=2.43066 , posy=0.424888 , velx=25.0485 , vely=4.22143
t=0.038,posx=2.4554 , posy=0.429052 , velx=24.428 , vely=4.10698
t=0.039,posx=2.47953 , posy=0.433104 , velx=23.8376 , vely=3.99783
t=0.04,posx=2.50308 , posy=0.437049 , velx=23.275 , vely=3.89361
t=0.041,posx=2.52609 , posy=0.440893 , velx=22.7384 , vely=3.79396
t=0.042,posx=2.54857 , posy=0.444639 , velx=22.2261 , vely=3.69859
t=0.043,posx=2.57055 , posy=0.448291 , velx=21.7363 , vely=3.6072
t=0.044,posx=2.59205 , posy=0.451854 , velx=21.2678 , vely=3.51954
t=0.045,posx=2.61309 , posy=0.455332 , velx=20.819 , vely=3.43538
t=0.046,posx=2.63369 , posy=0.458726 , velx=20.3888 , vely=3.3545
t=0.047,posx=2.65387 , posy=0.462042 , velx=19.976 , vely=3.27669
t=0.048,posx=2.67365 , posy=0.465281 , velx=19.5797 , vely=3.20178
t=0.049,posx=2.69304 , posy=0.468446 , velx=19.1988 , vely=3.12959
t=0.05,posx=2.71205 , posy=0.471541 , velx=18.8325 , vely=3.05997
t=0.051,posx=2.73071 , posy=0.474567 , velx=18.4799 , vely=2.99278
t=0.052,posx=2.74902 , posy=0.477527 , velx=18.1403 , vely=2.92788
t=0.053,posx=2.76699 , posy=0.480423 , velx=17.813 , vely=2.86514
t=0.054,posx=2.78465 , posy=0.483258 , velx=17.4974 , vely=2.80445
t=0.055,posx=2.80199 , posy=0.486033 , velx=17.1927 , vely=2.74571
t=0.056,posx=2.81904 , posy=0.48875 , velx=16.8985 , vely=2.68881
t=0.057,posx=2.83579 , posy=0.491411 , velx=16.6142 , vely=2.63366
t=0.058,posx=2.85227 , posy=0.494018 , velx=16.3394 , vely=2.58018
t=0.059,posx=2.86847 , posy=0.496572 , velx=16.0735 , vely=2.52828
t=0.06,posx=2.88442 , posy=0.499075 , velx=15.8162 , vely=2.47788
t=0.061,posx=2.90011 , posy=0.501528 , velx=15.567 , vely=2.42892
t=0.062,posx=2.91555 , posy=0.503933 , velx=15.3255 , vely=2.38132
t=0.063,posx=2.93076 , posy=0.506291 , velx=15.0915 , vely=2.33503
t=0.064,posx=2.94574 , posy=0.508604 , velx=14.8645 , vely=2.28998
t=0.065,posx=2.96049 , posy=0.510872 , velx=14.6443 , vely=2.24613
